,yhat
2023-01-02,9860.682649710023
2023-01-09,11251.938357868094
2023-01-16,11013.094685103732
2023-01-23,11516.867254818542
2023-01-30,12817.851718172162
2023-02-06,14717.659302426724
2023-02-13,13417.818499427445
2023-02-20,15742.581406770783
2023-02-27,17463.639229560384
2023-03-06,19327.143677044354
2023-03-13,19115.664095809192
2023-03-20,18318.627037593807
2023-03-27,18563.827203742752
2023-04-03,19025.58661559771
2023-04-10,19065.680608230872
2023-04-17,17126.309923455672
2023-04-24,19690.11368346042
2023-05-01,20876.216497079804
2023-05-08,19366.060484061847
2023-05-15,17227.604845266822
2023-05-22,18021.447768872407
2023-05-29,19052.959268533767
2023-06-05,18412.883679214818
2023-06-12,17847.746325954045
2023-06-19,17416.044177753778
2023-06-26,18470.397535892527
2023-07-03,19854.024743700757
2023-07-10,19970.691463615996
2023-07-17,19919.48366945014
2023-07-24,20855.30548355265
2023-07-31,17806.39062413775
2023-08-07,19511.933041981676
2023-08-14,19971.64161441158
2023-08-21,18842.830994495813
2023-08-28,20193.671647213087
2023-09-04,20908.51627357956
2023-09-11,21364.196711323348
2023-09-18,19870.205222927445
2023-09-25,20187.29766046937
2023-10-02,19982.69080518249
2023-10-09,19415.87296461784
2023-10-16,18920.95517572438
2023-10-23,18554.412549746914
2023-10-30,17389.076877417683
2023-11-06,19901.20576971897
2023-11-13,18686.641641858918
2023-11-20,17370.937180103552
2023-11-27,13615.392695836752
2023-12-04,13330.063734417039
2023-12-11,9249.73819730601
2023-12-18,6257.459550568941
2023-12-25,3840.649813316528
2024-01-01,9483.525499760199
2024-01-08,10874.78120791827
2024-01-15,10635.937535153911
2024-01-22,11139.710104868722
2024-01-29,12440.694568222341
2024-02-05,14340.5021524769
2024-02-12,13040.661349477625
2024-02-19,15365.424256820963
2024-02-26,17086.482079610563
2024-03-04,18949.986527094534
2024-03-11,18738.506945859368
2024-03-18,17941.469887643987
2024-03-25,18186.670053792932
2024-04-01,18648.42946564789
2024-04-08,18688.523458281048
2024-04-15,16749.152773505848
2024-04-22,19312.956533510598
2024-04-29,20499.059347129984
2024-05-06,18988.903334112027
2024-05-13,16850.447695316998
2024-05-20,17644.290618922587
2024-05-27,18675.802118583946
2024-06-03,18035.726529264997
2024-06-10,17470.58917600422
2024-06-17,17038.887027803954
2024-06-24,18093.240385942707
2024-07-01,19476.867593750936
2024-07-08,19593.534313666176
2024-07-15,19542.326519500315
2024-07-22,20478.14833360283
2024-07-29,17429.23347418793
2024-08-05,19134.775892031856
2024-08-12,19594.484464461755
2024-08-19,18465.67384454599
2024-08-26,19816.514497263262
2024-09-02,20531.35912362974
2024-09-09,20987.03956137353
2024-09-16,19493.04807297762
2024-09-23,19810.140510519544
2024-09-30,19605.53365523267
2024-10-07,19038.71581466802
2024-10-14,18543.79802577456
2024-10-21,18177.25539979709
2024-10-28,17011.919727467863
2024-11-04,19524.04861976915
2024-11-11,18309.484491909097
2024-11-18,16993.780030153728
2024-11-25,13238.235545886928
2024-12-02,12952.906584467219
2024-12-09,8872.581047356189
2024-12-16,5880.302400619121
2024-12-23,3463.4926633667037
